id,title,genres,vote_average,vote_count,revenue,release_date,image_width,image_height
64682,The Great Gatsby,"['Drama', 'Romance']",7.353,12878,351040419,2013-05-09,500,750
282035,The Mummy,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",5.517,7580,409231607,2017-06-06,500,750
424694,Bohemian Rhapsody,"['Music', 'Drama', 'History']",7.959,17655,910813521,2018-10-24,500,750
1111140,Two Sinners and a Mule,"['Western', 'Action']",6.4,34,0,2023-04-21,500,750
308266,War Dogs,"['Comedy', 'Crime', 'Drama']",6.939,5423,86234523,2016-08-18,500,750
1003579,Batman: The Doom That Came to Gotham,"['Animation', 'Fantasy', 'Action', 'Mystery']",6.655,248,0,2023-03-10,500,750
604822,Vanguard,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",6.376,599,50866901,2020-01-22,500,750
638507,How to Train Your Dragon: Homecoming,"['Animation', 'Fantasy', 'Adventure', 'Family']",8.041,1095,0,2019-12-03,500,750
896221,Trolls Holiday in Harmony,"['Animation', 'Fantasy', 'Family', 'Comedy']",7.2,192,0,2021-11-26,500,750
567189,Tom Clancy's Without Remorse,"['Action', 'Thriller', 'War']",6.939,2646,0,2021-04-30,500,750
401981,Red Sparrow,"['Thriller', 'Mystery']",6.533,6323,151572634,2018-02-15,500,750
20662,Robin Hood,"['Action', 'Adventure', 'History']",6.396,4972,321669741,2010-05-12,500,750
49524,R.I.P.D.,"['Fantasy', 'Action', 'Comedy']",5.854,4252,61600000,2013-07-18,500,750
36586,Blade II,"['Fantasy', 'Horror', 'Action', 'Thriller']",6.554,5147,155010032,2002-03-22,500,750
591273,Fear Street: 1994,"['Horror', 'Mystery']",6.689,2614,0,2021-06-28,500,750
745881,The Medium,"['Horror', 'Thriller']",6.997,730,7230000,2021-07-14,500,750
11322,Public Enemies,"['Crime', 'History', 'Drama']",6.7,4787,214104620,2009-07-01,500,750
133121,Resident Evil: Damnation,"['Action', 'Animation', 'Science Fiction', 'Horror']",6.902,984,2325035,2012-09-25,500,750
614917,King Richard,"['Drama', 'History']",7.602,2816,39400000,2021-11-18,500,750
500104,Aristotle and Dante Discover the Secrets of the Universe,"['Romance', 'Drama']",7.472,54,0,2023-09-08,500,750
438650,Cold Pursuit,"['Crime', 'Action']",5.9,2776,76419755,2019-02-07,500,750
524,Casino,"['Crime', 'Drama']",7.993,6466,116112375,1995-11-22,500,750
47933,Independence Day: Resurgence,"['Action', 'Adventure', 'Science Fiction']",5.354,6401,389681935,2016-06-22,500,750
880841,Abandoned,"['Horror', 'Mystery', 'Thriller']",5.8,298,60500,2022-06-17,500,750
378236,The Emoji Movie,"['Animation', 'Family', 'Comedy']",5.393,3296,216909830,2017-07-23,500,750
374205,One Piece Film: GOLD,"['Action', 'Animation', 'Adventure', 'Comedy']",7.2,530,66207073,2016-07-23,500,750
4108,The Transporter,"['Action', 'Crime', 'Thriller']",6.72,5757,43900000,2002-10-02,500,750
11906,Suspiria,['Horror'],7.5,3160,2900000,1977-02-01,500,750
53932,The Ages of Lulu,['Drama'],6.4,295,0,1990-12-03,500,750
597208,Nightmare Alley,"['Crime', 'Drama', 'Thriller']",6.954,3314,39629195,2021-12-02,500,750
1106896,The Unprofitable Servant,['Drama'],6.5,2,0,2023-04-25,500,714
925263,A Brighter Tomorrow,['Comedy'],7.0,334,6551542,2023-04-20,500,750
897192,Diary of a Wimpy Kid: Rodrick Rules,"['Animation', 'Comedy', 'Family']",6.8,186,0,2022-12-01,500,750
829799,Paradise City,"['Action', 'Crime', 'Thriller']",5.475,177,0,2022-11-11,500,750
658,Goldfinger,"['Adventure', 'Action', 'Thriller']",7.355,3932,124900000,1964-09-20,500,750
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"['Animation', 'Action', 'Science Fiction', 'Drama']",8.2,932,93882453,2021-03-08,500,750
264660,Ex Machina,"['Drama', 'Science Fiction']",7.574,14149,36869414,2015-01-21,500,750
436931,Pokémon the Movie: I Choose You!,"['Family', 'Animation', 'Adventure', 'Fantasy']",7.1,667,37552144,2017-07-15,500,750
11679,xXx: State of the Union,"['Action', 'Adventure', 'Crime', 'Thriller']",5.088,2006,71410636,2005-04-27,500,750
15512,Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'Science Fiction']",6.2,4913,381509870,2009-03-19,500,750
9757,Norbit,['Comedy'],5.667,2569,159814490,2007-02-08,500,750
1058949,Little Dixie,"['Action', 'Crime', 'Thriller', 'Drama']",5.8,158,0,2023-02-03,500,750
9480,Daredevil,"['Fantasy', 'Action']",5.291,5417,179179718,2003-02-14,500,750
850871,Sayen,"['Action', 'Adventure']",6.1,132,0,2023-03-03,500,750
943221,Evil Eye,['Horror'],6.7,258,0,2022-09-22,500,750
